# trace: 第一关-0-60秒-内存录屏.json
# startTime: 2026-05-02T13:34:03.731Z
# tsMin: 48886771547 tsMax: 48971073769 range_us: 84302222
time_s,event,documents,jsListeners,nodes,heap_used_mb,gc_heap_before_mb,gc_heap_after_mb,dur_ms,url_or_note
40.951,UpdateCounters,1,97,1206,33.85,,,,
40.953,XHRLoad,,,,,,,0.629,http://localhost:7456/query-extname/97314532-79c8-4f5e-bfba-ef207efc3e8a@f9941
40.953,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@f9941
40.956,XHRLoad,,,,,,,0.525,http://localhost:7456/query-extname/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@f9941
40.956,UpdateCounters,1,98,1206,33.85,,,,
40.956,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@f9941
40.957,UpdateCounters,1,99,1206,33.85,,,,
40.960,XHRLoad,,,,,,,4.847,http://localhost:7456/query-extname/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@f9941
40.960,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/76/762e2cb3-f7fb-4640-804f-3a8c2f4941d0@f9941.json
40.960,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/64/64636b97-25c8-44d8-9207-6e4924693977@f9941.json
40.961,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/cd/cd626b47-5f8d-4d1d-97d5-da708df3a3e4@f9941.json
40.961,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/1f/1f9f14e2-26a3-44ec-9fdd-22db6ac9bc64@f9941.json
40.961,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/e2/e20ac175-a5d0-4c18-b9b7-48095a727a36@f9941.json
40.961,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/17/176abe79-711f-4ca6-9ae4-1bad713d6efd@f9941.json
40.962,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/49/4986ff55-c078-4832-aa80-4475969d93e9@f9941.json
40.962,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/4d/4d009914-0eec-4669-aed0-60a7a30e547d@f9941.json
40.962,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f1/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@f9941.json
40.963,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/67/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@f9941.json
40.963,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/20/202ee2fb-d6a2-4f01-bc15-9e40bc85a0db@f9941.json
40.963,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/5d/5da160a3-8bc3-4df1-9d1d-7c4c01ee7ce5@f9941.json
40.964,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f7/f7838a27-1d71-48a1-8479-d7ef88687312@f9941.json
40.964,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/0e/0e0d7e29-d4b1-49c8-ad40-af454fc45f75@f9941.json
40.964,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/e2/e2bd0454-9a0b-4ba7-afb7-97ea8bab1694@f9941.json
40.970,UpdateCounters,1,159,1206,34.25,,,,
40.970,XHRLoad,,,,,,,1.628,http://localhost:7456/assets/prefabs_sub/import/76/762e2cb3-f7fb-4640-804f-3a8c2f4941d0@f9941.json
40.971,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/762e2cb3-f7fb-4640-804f-3a8c2f4941d0@6c48a
40.972,UpdateCounters,1,160,1206,34.26,,,,
40.973,XHRLoad,,,,,,,1.718,http://localhost:7456/assets/prefabs_sub/import/64/64636b97-25c8-44d8-9207-6e4924693977@f9941.json
40.974,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/64636b97-25c8-44d8-9207-6e4924693977@6c48a
40.974,UpdateCounters,1,161,1206,34.29,,,,
40.975,XHRLoad,,,,,,,1.028,http://localhost:7456/assets/prefabs_sub/import/cd/cd626b47-5f8d-4d1d-97d5-da708df3a3e4@f9941.json
40.976,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/cd626b47-5f8d-4d1d-97d5-da708df3a3e4@6c48a
40.976,UpdateCounters,1,162,1206,34.30,,,,
40.977,XHRLoad,,,,,,,0.896,http://localhost:7456/assets/prefabs_sub/import/1f/1f9f14e2-26a3-44ec-9fdd-22db6ac9bc64@f9941.json
40.977,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/1f9f14e2-26a3-44ec-9fdd-22db6ac9bc64@6c48a
40.978,UpdateCounters,1,163,1206,34.32,,,,
40.978,XHRLoad,,,,,,,0.857,http://localhost:7456/assets/prefabs_sub/import/e2/e20ac175-a5d0-4c18-b9b7-48095a727a36@f9941.json
40.978,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/e20ac175-a5d0-4c18-b9b7-48095a727a36@6c48a
40.979,UpdateCounters,1,164,1206,34.33,,,,
40.984,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/41/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@f9941.json
40.984,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/15/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@f9941.json
40.984,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/97/97314532-79c8-4f5e-bfba-ef207efc3e8a@f9941.json
40.985,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/df/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@f9941.json
40.985,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/a4/a4cfe06f-7501-444c-abe6-8a049b7c4859@f9941.json
40.985,UpdateCounters,1,184,1206,34.63,,,,
40.986,XHRLoad,,,,,,,1.356,http://localhost:7456/assets/prefabs_sub/import/17/176abe79-711f-4ca6-9ae4-1bad713d6efd@f9941.json
40.986,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/176abe79-711f-4ca6-9ae4-1bad713d6efd@6c48a
40.987,UpdateCounters,1,185,1206,34.64,,,,
40.988,XHRLoad,,,,,,,1.052,http://localhost:7456/assets/prefabs_sub/import/49/4986ff55-c078-4832-aa80-4475969d93e9@f9941.json
40.988,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4986ff55-c078-4832-aa80-4475969d93e9@6c48a
40.989,UpdateCounters,1,186,1206,34.66,,,,
40.989,XHRLoad,,,,,,,1.572,http://localhost:7456/assets/prefabs_sub/import/4d/4d009914-0eec-4669-aed0-60a7a30e547d@f9941.json
40.990,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4d009914-0eec-4669-aed0-60a7a30e547d@6c48a
40.991,UpdateCounters,1,187,1206,34.67,,,,
40.992,XHRLoad,,,,,,,1.412,http://localhost:7456/assets/prefabs_sub/import/f1/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@f9941.json
40.992,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@6c48a
40.993,UpdateCounters,1,188,1206,34.68,,,,
40.994,XHRLoad,,,,,,,0.98,http://localhost:7456/assets/prefabs_sub/import/67/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@f9941.json
40.995,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@6c48a
40.995,UpdateCounters,1,189,1206,34.69,,,,
40.995,XHRLoad,,,,,,,0.968,http://localhost:7456/assets/prefabs_sub/import/20/202ee2fb-d6a2-4f01-bc15-9e40bc85a0db@f9941.json
40.996,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/202ee2fb-d6a2-4f01-bc15-9e40bc85a0db@6c48a
40.996,UpdateCounters,1,190,1206,34.70,,,,
40.997,XHRLoad,,,,,,,0.97,http://localhost:7456/assets/prefabs_sub/import/5d/5da160a3-8bc3-4df1-9d1d-7c4c01ee7ce5@f9941.json
40.997,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/5da160a3-8bc3-4df1-9d1d-7c4c01ee7ce5@6c48a
40.998,UpdateCounters,1,191,1206,34.71,,,,
40.999,XHRLoad,,,,,,,1.446,http://localhost:7456/assets/prefabs_sub/import/f7/f7838a27-1d71-48a1-8479-d7ef88687312@f9941.json
41.000,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f7838a27-1d71-48a1-8479-d7ef88687312@6c48a
41.000,UpdateCounters,1,192,1206,34.73,,,,
41.001,XHRLoad,,,,,,,0.989,http://localhost:7456/assets/prefabs_sub/import/0e/0e0d7e29-d4b1-49c8-ad40-af454fc45f75@f9941.json
41.002,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/0e0d7e29-d4b1-49c8-ad40-af454fc45f75@6c48a
41.002,UpdateCounters,1,193,1206,34.74,,,,
41.003,XHRLoad,,,,,,,0.963,http://localhost:7456/assets/prefabs_sub/import/e2/e2bd0454-9a0b-4ba7-afb7-97ea8bab1694@f9941.json
41.003,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/e2bd0454-9a0b-4ba7-afb7-97ea8bab1694@6c48a
41.004,UpdateCounters,1,194,1206,34.75,,,,
41.010,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f7/f7de7cb7-2514-492e-934c-66081060ec95@f9941.json
41.010,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/08/08d460a4-4a90-4ce4-a002-907d26bb97f4@f9941.json
41.010,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/eb/eb0f061f-3708-4fea-98ac-4f973efdf6d2@f9941.json
41.011,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/12/12dafe4d-0706-4bc7-a42f-f21d192b4df1@f9941.json
41.011,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/b7/b7a67dea-255a-4cea-a1d6-e9e3e353fe89@f9941.json
41.011,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/6e/6e7031d6-cb6e-4113-b2ae-dd1c46153f7e@f9941.json
41.012,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/77/776e3a37-1bed-46b8-9a13-9b7af9a5bf46@f9941.json
41.012,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/1c/1c042c06-31fd-4db7-9432-c83898579444@f9941.json
41.013,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/95/953bbbe5-70b1-43be-b818-53a60a203002@f9941.json
41.014,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/8b/8b70a9b0-6f2b-41f4-b00b-84049d5459d0@f9941.json
41.014,UpdateCounters,1,234,1206,35.22,,,,
41.015,XHRLoad,,,,,,,0.269,http://localhost:7456/query-extname/762e2cb3-f7fb-4640-804f-3a8c2f4941d0@6c48a
41.016,XHRLoad,,,,,,,0.182,http://localhost:7456/query-extname/64636b97-25c8-44d8-9207-6e4924693977@6c48a
41.017,XHRLoad,,,,,,,0.182,http://localhost:7456/query-extname/cd626b47-5f8d-4d1d-97d5-da708df3a3e4@6c48a
41.018,XHRLoad,,,,,,,0.122,http://localhost:7456/query-extname/e20ac175-a5d0-4c18-b9b7-48095a727a36@6c48a
41.018,XHRLoad,,,,,,,0.118,http://localhost:7456/query-extname/1f9f14e2-26a3-44ec-9fdd-22db6ac9bc64@6c48a
41.019,XHRLoad,,,,,,,1.296,http://localhost:7456/assets/prefabs_sub/import/41/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@f9941.json
41.019,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@6c48a
41.020,UpdateCounters,1,235,1206,35.24,,,,
41.021,XHRLoad,,,,,,,1.411,http://localhost:7456/assets/prefabs_sub/import/15/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@f9941.json
41.022,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@6c48a
41.022,UpdateCounters,1,236,1206,35.29,,,,
41.023,XHRLoad,,,,,,,1.469,http://localhost:7456/assets/prefabs_sub/import/df/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@f9941.json
41.024,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@6c48a
41.024,UpdateCounters,1,237,1206,35.30,,,,
41.025,XHRLoad,,,,,,,1.009,http://localhost:7456/assets/prefabs_sub/import/97/97314532-79c8-4f5e-bfba-ef207efc3e8a@f9941.json
41.025,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/97314532-79c8-4f5e-bfba-ef207efc3e8a@6c48a
41.026,UpdateCounters,1,238,1206,35.31,,,,
41.026,XHRLoad,,,,,,,0.912,http://localhost:7456/assets/prefabs_sub/import/a4/a4cfe06f-7501-444c-abe6-8a049b7c4859@f9941.json
41.027,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/a4cfe06f-7501-444c-abe6-8a049b7c4859@6c48a
41.027,UpdateCounters,1,239,1206,35.32,,,,
41.028,XHRLoad,,,,,,,0.917,http://localhost:7456/query-extname/176abe79-711f-4ca6-9ae4-1bad713d6efd@6c48a
41.028,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/17/176abe79-711f-4ca6-9ae4-1bad713d6efd@6c48a.json
41.029,XHRLoad,,,,,,,0.637,http://localhost:7456/query-extname/4986ff55-c078-4832-aa80-4475969d93e9@6c48a
41.029,UpdateCounters,1,243,1206,35.33,,,,
41.030,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/49/4986ff55-c078-4832-aa80-4475969d93e9@6c48a.json
41.030,XHRLoad,,,,,,,0.513,http://localhost:7456/query-extname/4d009914-0eec-4669-aed0-60a7a30e547d@6c48a
41.030,UpdateCounters,1,247,1206,35.33,,,,
41.031,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/4d/4d009914-0eec-4669-aed0-60a7a30e547d@6c48a.json
41.031,XHRLoad,,,,,,,1.122,http://localhost:7456/query-extname/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@6c48a
41.031,UpdateCounters,1,251,1206,35.33,,,,
41.032,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f1/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@6c48a.json
41.033,XHRLoad,,,,,,,0.896,http://localhost:7456/query-extname/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@6c48a
41.033,UpdateCounters,1,255,1206,35.33,,,,
41.033,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/67/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@6c48a.json
41.034,XHRLoad,,,,,,,0.151,http://localhost:7456/query-extname/202ee2fb-d6a2-4f01-bc15-9e40bc85a0db@6c48a
41.034,UpdateCounters,1,259,1206,35.34,,,,
41.035,XHRLoad,,,,,,,0.101,http://localhost:7456/query-extname/5da160a3-8bc3-4df1-9d1d-7c4c01ee7ce5@6c48a
41.035,XHRLoad,,,,,,,0.073,http://localhost:7456/query-extname/0e0d7e29-d4b1-49c8-ad40-af454fc45f75@6c48a
41.035,XHRLoad,,,,,,,0.07,http://localhost:7456/query-extname/f7838a27-1d71-48a1-8479-d7ef88687312@6c48a
41.036,XHRLoad,,,,,,,0.07,http://localhost:7456/query-extname/e2bd0454-9a0b-4ba7-afb7-97ea8bab1694@6c48a
41.041,XHRLoad,,,,,,,1.177,http://localhost:7456/assets/prefabs_sub/import/f7/f7de7cb7-2514-492e-934c-66081060ec95@f9941.json
41.042,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f7de7cb7-2514-492e-934c-66081060ec95@6c48a
41.042,UpdateCounters,1,260,1206,35.68,,,,
41.043,XHRLoad,,,,,,,0.912,http://localhost:7456/assets/prefabs_sub/import/08/08d460a4-4a90-4ce4-a002-907d26bb97f4@f9941.json
41.043,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/08d460a4-4a90-4ce4-a002-907d26bb97f4@6c48a
41.044,UpdateCounters,1,261,1206,35.69,,,,
41.044,XHRLoad,,,,,,,1.55,http://localhost:7456/assets/prefabs_sub/import/eb/eb0f061f-3708-4fea-98ac-4f973efdf6d2@f9941.json
41.045,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/eb0f061f-3708-4fea-98ac-4f973efdf6d2@6c48a
41.046,UpdateCounters,1,262,1206,35.70,,,,
41.046,XHRLoad,,,,,,,1.123,http://localhost:7456/assets/prefabs_sub/import/12/12dafe4d-0706-4bc7-a42f-f21d192b4df1@f9941.json
41.047,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/12dafe4d-0706-4bc7-a42f-f21d192b4df1@6c48a
41.047,UpdateCounters,1,263,1206,35.71,,,,
41.048,XHRLoad,,,,,,,1.704,http://localhost:7456/assets/prefabs_sub/import/b7/b7a67dea-255a-4cea-a1d6-e9e3e353fe89@f9941.json
41.049,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/b7a67dea-255a-4cea-a1d6-e9e3e353fe89@6c48a
41.050,UpdateCounters,1,264,1206,35.72,,,,
41.050,XHRLoad,,,,,,,1.013,http://localhost:7456/assets/prefabs_sub/import/6e/6e7031d6-cb6e-4113-b2ae-dd1c46153f7e@f9941.json
41.051,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/6e7031d6-cb6e-4113-b2ae-dd1c46153f7e@6c48a
41.051,UpdateCounters,1,265,1206,35.74,,,,
41.052,XHRLoad,,,,,,,1.084,http://localhost:7456/assets/prefabs_sub/import/77/776e3a37-1bed-46b8-9a13-9b7af9a5bf46@f9941.json
41.052,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/776e3a37-1bed-46b8-9a13-9b7af9a5bf46@6c48a
41.053,UpdateCounters,1,266,1206,35.75,,,,
41.054,XHRLoad,,,,,,,1.906,http://localhost:7456/assets/prefabs_sub/import/1c/1c042c06-31fd-4db7-9432-c83898579444@f9941.json
41.054,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/1c042c06-31fd-4db7-9432-c83898579444@6c48a
41.055,UpdateCounters,1,267,1206,35.76,,,,
41.057,XHRLoad,,,,,,,1.841,http://localhost:7456/assets/prefabs_sub/import/95/953bbbe5-70b1-43be-b818-53a60a203002@f9941.json
41.058,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/953bbbe5-70b1-43be-b818-53a60a203002@6c48a
41.059,UpdateCounters,1,268,1206,35.77,,,,
41.059,XHRLoad,,,,,,,1.226,http://localhost:7456/assets/prefabs_sub/import/8b/8b70a9b0-6f2b-41f4-b00b-84049d5459d0@f9941.json
41.060,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/8b70a9b0-6f2b-41f4-b00b-84049d5459d0@6c48a
41.061,UpdateCounters,1,269,1206,35.78,,,,
41.061,XHRLoad,,,,,,,0.611,http://localhost:7456/query-extname/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@6c48a
41.061,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/15/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@6c48a.json
41.062,XHRLoad,,,,,,,0.627,http://localhost:7456/query-extname/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@6c48a
41.062,UpdateCounters,1,273,1206,35.78,,,,
41.062,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/41/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@6c48a.json
41.063,XHRLoad,,,,,,,0.566,http://localhost:7456/query-extname/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@6c48a
41.063,UpdateCounters,1,277,1206,35.79,,,,
41.063,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/df/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@6c48a.json
41.064,XHRLoad,,,,,,,0.755,http://localhost:7456/query-extname/97314532-79c8-4f5e-bfba-ef207efc3e8a@6c48a
41.064,UpdateCounters,1,281,1206,35.79,,,,
41.064,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/97/97314532-79c8-4f5e-bfba-ef207efc3e8a@6c48a.json
41.066,XHRLoad,,,,,,,2.003,http://localhost:7456/assets/prefabs_sub/import/17/176abe79-711f-4ca6-9ae4-1bad713d6efd@6c48a.json
41.067,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/176abe79-711f-4ca6-9ae4-1bad713d6efd
41.068,UpdateCounters,1,286,1206,35.80,,,,
41.068,XHRLoad,,,,,,,1.082,http://localhost:7456/assets/prefabs_sub/import/49/4986ff55-c078-4832-aa80-4475969d93e9@6c48a.json
41.069,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4986ff55-c078-4832-aa80-4475969d93e9
41.069,UpdateCounters,1,287,1206,35.81,,,,
41.070,XHRLoad,,,,,,,0.607,http://localhost:7456/query-extname/a4cfe06f-7501-444c-abe6-8a049b7c4859@6c48a
41.070,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/a4/a4cfe06f-7501-444c-abe6-8a049b7c4859@6c48a.json
41.071,XHRLoad,,,,,,,1.23,http://localhost:7456/assets/prefabs_sub/import/4d/4d009914-0eec-4669-aed0-60a7a30e547d@6c48a.json
41.071,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4d009914-0eec-4669-aed0-60a7a30e547d
41.072,UpdateCounters,1,292,1206,35.82,,,,
41.076,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/e2/e2bd0454-9a0b-4ba7-afb7-97ea8bab1694@6c48a.json
41.077,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f7/f7838a27-1d71-48a1-8479-d7ef88687312@6c48a.json
41.077,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/0e/0e0d7e29-d4b1-49c8-ad40-af454fc45f75@6c48a.json
41.077,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/5d/5da160a3-8bc3-4df1-9d1d-7c4c01ee7ce5@6c48a.json
41.077,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/20/202ee2fb-d6a2-4f01-bc15-9e40bc85a0db@6c48a.json
41.077,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/1f/1f9f14e2-26a3-44ec-9fdd-22db6ac9bc64@6c48a.json
41.078,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/e2/e20ac175-a5d0-4c18-b9b7-48095a727a36@6c48a.json
41.078,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/cd/cd626b47-5f8d-4d1d-97d5-da708df3a3e4@6c48a.json
41.078,UpdateCounters,1,324,1206,36.13,,,,
41.079,XHRLoad,,,,,,,1.221,http://localhost:7456/assets/prefabs_sub/import/67/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96@6c48a.json
41.079,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/67ca60dd-28b5-47be-bfb7-53b0c6fb2b96
41.080,UpdateCounters,1,325,1206,36.14,,,,
41.080,XHRLoad,,,,,,,1.547,http://localhost:7456/assets/prefabs_sub/import/f1/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed@6c48a.json
41.081,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f1cd3708-32d8-4aeb-b37c-b1b377d1e4ed
41.082,UpdateCounters,1,326,1206,36.15,,,,
41.082,XHRLoad,,,,,,,0.639,http://localhost:7456/query-extname/f7de7cb7-2514-492e-934c-66081060ec95@6c48a
41.083,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/f7/f7de7cb7-2514-492e-934c-66081060ec95@6c48a.json
41.083,XHRLoad,,,,,,,0.545,http://localhost:7456/query-extname/08d460a4-4a90-4ce4-a002-907d26bb97f4@6c48a
41.083,UpdateCounters,1,330,1206,36.15,,,,
41.084,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/08/08d460a4-4a90-4ce4-a002-907d26bb97f4@6c48a.json
41.084,XHRLoad,,,,,,,0.119,http://localhost:7456/query-extname/eb0f061f-3708-4fea-98ac-4f973efdf6d2@6c48a
41.084,UpdateCounters,1,334,1206,36.15,,,,
41.085,XHRLoad,,,,,,,0.087,http://localhost:7456/query-extname/12dafe4d-0706-4bc7-a42f-f21d192b4df1@6c48a
41.085,XHRLoad,,,,,,,0.118,http://localhost:7456/query-extname/b7a67dea-255a-4cea-a1d6-e9e3e353fe89@6c48a
41.086,XHRLoad,,,,,,,0.081,http://localhost:7456/query-extname/6e7031d6-cb6e-4113-b2ae-dd1c46153f7e@6c48a
41.086,XHRLoad,,,,,,,0.067,http://localhost:7456/query-extname/776e3a37-1bed-46b8-9a13-9b7af9a5bf46@6c48a
41.086,XHRLoad,,,,,,,0.062,http://localhost:7456/query-extname/1c042c06-31fd-4db7-9432-c83898579444@6c48a
41.086,XHRLoad,,,,,,,0.06,http://localhost:7456/query-extname/953bbbe5-70b1-43be-b818-53a60a203002@6c48a
41.087,XHRLoad,,,,,,,0.062,http://localhost:7456/query-extname/8b70a9b0-6f2b-41f4-b00b-84049d5459d0@6c48a
41.087,XHRLoad,,,,,,,0.895,http://localhost:7456/assets/prefabs_sub/import/15/1579671c-5dd8-4bbe-a3b9-41a0a8027df8@6c48a.json
41.088,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/1579671c-5dd8-4bbe-a3b9-41a0a8027df8
41.088,UpdateCounters,1,335,1206,36.17,,,,
41.088,XHRLoad,,,,,,,0.957,http://localhost:7456/assets/prefabs_sub/import/41/41a689b6-7672-4cdb-bc2a-d12321b8c0ee@6c48a.json
41.089,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/41a689b6-7672-4cdb-bc2a-d12321b8c0ee
41.089,UpdateCounters,1,336,1206,36.18,,,,
41.090,XHRLoad,,,,,,,1.391,http://localhost:7456/assets/prefabs_sub/import/df/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0@6c48a.json
41.091,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/df3fa48b-41b1-4c3c-a4e3-2a0e0364d2b0
41.092,UpdateCounters,1,337,1206,36.19,,,,
41.092,XHRLoad,,,,,,,0.958,http://localhost:7456/assets/prefabs_sub/import/97/97314532-79c8-4f5e-bfba-ef207efc3e8a@6c48a.json
41.093,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/97314532-79c8-4f5e-bfba-ef207efc3e8a
41.093,UpdateCounters,1,338,1206,36.20,,,,
41.094,XHRLoad,,,,,,,0.518,http://localhost:7456/query-extname/176abe79-711f-4ca6-9ae4-1bad713d6efd
41.094,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/prefabs_sub/import/17/176abe79-711f-4ca6-9ae4-1bad713d6efd.json
41.094,XHRLoad,,,,,,,0.479,http://localhost:7456/query-extname/4986ff55-c078-4832-aa80-4475969d93e9
41.094,UpdateCounters,1,342,1206,36.20,,,,
